entrada,salida
asimismo ha tenido personalidades significativas a lo largo de la historia con contribuciones destacadas en deportes ciencias artes política y humanidades el perfeccionamiento del baipás coronario el uso de las huellas dactilares para la identificación de las personas el método de conservación de sangre humana para su uso diferido en transfusiones el bolígrafo la jeringa descartable los dibujos animados y el primer diseño funcional de los helicópteros modernos son las creaciones de argentinos más célebres,"Asimismo, ha tenido personalidades significativas a lo largo de la historia, con contribuciones destacadas en deportes, ciencias, artes, política y humanidades. El perfeccionamiento del baipás coronario, el uso de las huellas dactilares para la identificación de las personas, el método de conservación de sangre humana para su uso diferido en transfusiones, el bolígrafo, la jeringa descartable, los dibujos animados y el primer diseño funcional de los helicópteros modernos, son las creaciones de argentinos más célebres."
argentina integra el g20 bloque que reúne a las naciones más ricas e industrializadas del planeta y es miembro fundador del mercosur de naciones unidas la organización de estados americanos y el nic o nuevos países industrializados,"Argentina integra el G20 bloque que reúne a las naciones más ricas e industrializadas del planeta y es miembro fundador del Mercosur, de Naciones Unidas, la Organización de Estados Americanos y el NIC o nuevos países industrializados."
su territorio bicontinental abarca una superficie de 2 780 400 km es el país hispanohablante más extenso del planeta el segundo más grande de américa latina y octavo en el mundo si se considera solo la superficie continental sujeta a soberanía efectiva su plataforma continental reconocida por la onu en 2014 alcanza los 6 581 500 km convirtiéndose en una de las más grandes del mundo extendiéndose desde el continente americano hasta el polo sur en la antártida a través del atlántico sur si se cuentan las islas malvinas georgias del sur sandwich del sur y otras numerosas islas menores administradas por el reino unido pero de soberanía en litigio más una porción del área antártica llamada antártida argentina al sur del paralelo 60 s sobre la cual argentina reclama soberanía la superficie se eleva a 3 761 274 km es una de las veinte naciones con presencia continua en la antártida y posee la mayor cantidad de bases permanentes con seis en total,"Su territorio bicontinental abarca una superficie de 2 780 400 km , es el país hispanohablante más extenso del planeta, el segundo más grande de América Latina y octavo en el mundo, si se considera solo la superficie continental sujeta a soberanía efectiva. Su plataforma continental, reconocida por la ONU en 2014, alcanza los 6 581 500 km , convirtiéndose en una de las más grandes del mundo, extendiéndose desde el continente americano hasta el Polo Sur en la Antártida, a través del Atlántico Sur. Si se cuentan las islas Malvinas, Georgias del Sur, Sandwich del Sur y otras numerosas islas menores administradas por el Reino Unido, pero de soberanía en litigio , más una porción del área antártica llamada Antártida Argentina al sur del paralelo 60 S, sobre la cual Argentina reclama soberanía, la superficie se eleva a 3 761 274 km . Es una de las veinte naciones con presencia continua en la Antártida y posee la mayor cantidad de bases permanentes, con seis en total."
su territorio reúne una gran diversidad de climas causada por una amplitud latitudinal que supera los 30 incluyendo varias zonas geoastronómicas una diferencia en la altitud que va de 107 m bajo el nivel del mar laguna del carbón a casi 7000 m s n m y la extensión del litoral marítimo que alcanza 4725 km amplias llanuras húmedas limitan con extensos desiertos y altas montañas mientras que la presencia de climas tropicales y subtropicales en el norte contrastan con las nevadas y fríos extremos en las zonas cordilleranas y el sur,"Su territorio reúne una gran diversidad de climas, causada por una amplitud latitudinal que supera los 30 incluyendo varias zonas geoastronómicas , una diferencia en la altitud que va de 107 m bajo el nivel del mar Laguna del Carbón a casi 7000 m s. n. m. y la extensión del litoral marítimo que alcanza 4725 km. Amplias llanuras húmedas limitan con extensos desiertos y altas montañas, mientras que la presencia de climas tropicales y subtropicales en el norte, contrastan con las nevadas y fríos extremos en las zonas cordilleranas y el sur."
los primeros registros de pobladores en el actual territorio argentino se remontan a los trece mil años ap durante el paleoamericano en tiempos protohistóricos periodo precolombino fue habitado por numerosos pueblos indígenas algunos de los cuales aún habitan el país entre ellos guaycurúes guaraníes mapuches tehuelches y diaguitas estos últimos formaban parte del imperio incaico la conquista española del actual territorio argentino comenzó con viajes exploratorios desde el año 1512 el establecimiento de una población en 1528 y la distribución del territorio a los adelantados más tarde quedó bajo la jurisdicción del virreinato del perú en 1776 la corona española fundó el virreinato del río de la plata el cual sería una entidad política precedente a la actual república argentina el 25 de mayo de 1810 fue sustituido el sistema virreinal deponiendo al último virrey que gobernó desde buenos aires organizándose así la primera junta de gobierno que actuaba de forma autónoma desconociendo al consejo de regencia de españa el día 9 de julio de 1816 fue proclamada la independencia en san miguel de tucumán,"Los primeros registros de pobladores en el actual territorio argentino se remontan a los trece mil años AP, durante el Paleoamericano. En tiempos protohistóricos, periodo precolombino, fue habitado por numerosos pueblos indígenas, algunos de los cuales aún habitan el país entre ellos guaycurúes, guaraníes, mapuches, tehuelches y diaguitas, estos últimos formaban parte del Imperio incaico. La conquista española del actual territorio argentino comenzó con viajes exploratorios desde el año 1512, el establecimiento de una población en 1528 y la distribución del territorio a los adelantados. Más tarde, quedó bajo la jurisdicción del virreinato del Perú. En 1776, la Corona española fundó el virreinato del Río de la Plata, el cual sería una entidad política precedente a la actual República Argentina. El 25 de mayo de 1810 fue sustituido el sistema virreinal, deponiendo al último virrey que gobernó desde Buenos Aires, organizándose así la Primera Junta de gobierno, que actuaba de forma autónoma desconociendo al Consejo de Regencia de España. El día 9 de julio de 1816 fue proclamada la independencia en San Miguel de Tucumán."
por lo tanto la población argentina es un crisol de culturas y etnias resultado de la confluencia de diversos grupos a lo largo de la historia los pueblos originarios fueron los primeros habitantes del territorio con la llegada de los españoles en el siglo xvi se produjo un mestizaje que dio forma a la base de la identidad argentina sin embargo fue durante el siglo xx cuando la argentina experimentó una gran oleada de inmigración a consecuencia de ser un país próspero llegaron españoles pero principalmente italianos y también inmigrantes de otros europeos como alemanes franceses y eslavos se estima que entre 1857 y 1947 llegaron a argentina alrededor de 2 967 759 inmigrantes italianos esta diversidad cultural se refleja en la rica cultura argentina que combina tradiciones indígenas españolas y europeas y se manifiesta en su música arte literatura y gastronomía la influencia de estas corrientes migratorias ha dado lugar a una sociedad cosmopolita y multicultural donde la identidad argentina se define por su complejidad y diversidad,"Por lo tanto, la población argentina es un crisol de culturas y etnias, resultado de la confluencia de diversos grupos a lo largo de la historia. Los pueblos originarios, fueron los primeros habitantes del territorio. Con la llegada de los españoles en el siglo XVI, se produjo un mestizaje que dio forma a la base de la identidad argentina. Sin embargo, fue durante el siglo XX cuando la Argentina experimentó una gran oleada de inmigración, a consecuencia de ser un país próspero. Llegaron españoles pero principalmente italianos, y también inmigrantes de otros europeos como alemanes, franceses y eslavos. Se estima que entre 1857 y 1947 llegaron a Argentina alrededor de 2 967 759 inmigrantes italianos. Esta diversidad cultural se refleja en la rica cultura argentina, que combina tradiciones indígenas, españolas y europeas, y se manifiesta en su música, arte, literatura y gastronomía. La influencia de estas corrientes migratorias ha dado lugar a una sociedad cosmopolita y multicultural, donde la identidad argentina se define por su complejidad y diversidad."
el nombre oficial del país es república argentina literalmente república del plata por elipsis suele denominarse la argentina el uso sin artículo está muy extendido y no se considera incorrecto si bien la academia argentina de letras lo ha calificado de reprensible,"El nombre oficial del país es República Argentina, literalmente República del Plata . Por elipsis, suele denominarse, la Argentina . El uso sin artículo está muy extendido y no se considera incorrecto, si bien la Academia Argentina de Letras lo ha calificado de reprensible ."
argentina es el femenino del adjetivo poético argentino que indica algo que tiene cualidades de la plata o relacionado con ella del latín argentum plata argentum a su vez procede del protoitálico argentom derivado del protoindoeuropeo h r n tóm sustantivo formado a partir del adjetivo h er - blanco brillante,"Argentina es el femenino del adjetivo poético argentino que indica algo que tiene cualidades de la plata o relacionado con ella, del latín argentum plata . Argentum, a su vez, procede del protoitálico argentom, derivado del protoindoeuropeo h r n tóm, sustantivo formado a partir del adjetivo h er - blanco , brillante ."
argentina fue una denominación poética de los países ribereños del plata río llamado así porque era un acceso a los yacimientos argentíferos del cerro rico de potosi que se encontraban en la provincia de charcas,"Argentina fue una denominación poética de los países ribereños del Plata, río llamado así porque era un acceso a los yacimientos argentíferos del Cerro Rico de Potosi que se encontraban en la Provincia de Charcas"
en la actual bolivia llamada coloquialmente como alto perú por los argentinos en dicha provincia también se encontraba la ciudad de la plata actual sucre y que era la capital de la audiencia de charcas es por ello que durante mucho tiempo esta ciudad era denominada en latín civitas argentina ciudad argentina,", en la actual Bolivia llamada coloquialmente como Alto Perú por los argentinos . En dicha provincia también se encontraba la ciudad de la Plata actual Sucre y que era la capital de la Audiencia de Charcas. Es por ello que durante mucho tiempo esta ciudad era denominada, en latín, Civitas Argentina Ciudad Argentina ."
el uso como topónimo aunque con una declinación diferente aparece por primera vez en 1554 en el mapa de lopo homem donde los territorios de la región litoral son llamados terra argentea más tarde martín del barco centenera la eligió a imitación de la araucana 1569 como título de un poema épico sobre la conquista la argentina 1602 desde entonces y hasta finales del siglo xviii argentina y argentino fueron denominaciones literarias del territorio y los pobladores de la región rioplatense,"El uso como topónimo, aunque con una declinación diferente, aparece por primera vez en 1554 en el mapa de Lopo Homem donde los territorios de la región litoral son llamados Terra Argentea. Más tarde, Martín del Barco Centenera la eligió, a imitación de La Araucana 1569 , como título de un poema épico sobre la conquista La Argentina 1602 . Desde entonces y hasta finales del siglo XVIII, Argentina y argentino fueron denominaciones literarias del territorio y los pobladores de la región rioplatense."
con la creación del virreinato del río de la plata y su posterior independencia como provincias unidas del río de la plata argentina y argentino se hicieron más comunes aunque a veces con una connotación restringida a buenos aires y las provincias cercanas,"Con la creación del virreinato del Río de la Plata y su posterior independencia como Provincias Unidas del Río de la Plata, Argentina y argentino se hicieron más comunes, aunque a veces con una connotación restringida a Buenos Aires y las provincias cercanas."
la constitución de 1826 usó argentina como nombre oficial del estado y desde entonces a pesar del rechazo a dicha constitución fue usado de manera habitual a partir de la década de 1830 rosas formalmente gobernador de buenos aires era el encargado de dirigir las relaciones exteriores de la república argentina,"La Constitución de 1826, usó Argentina como nombre oficial del Estado y, desde entonces, a pesar del rechazo a dicha constitución, fue usado de manera habitual. A partir de la década de 1830, Rosas, formalmente gobernador de Buenos Aires, era el encargado de dirigir las relaciones exteriores de la República Argentina ."
la reforma constitucional argentina de 1860 sancionó como artículo 35 la norma que estableció los nombres oficiales del país vigente desde entonces,"La reforma constitucional argentina de 1860 sancionó como artículo 35 la norma que estableció los nombres oficiales del país, vigente desde entonces"
en 1860 en la ciudad de paraná entonces capital de la confederación argentina el presidente santiago derqui decretó que para uniformar los actos administrativos se usaría siempre república argentina dos años más tarde en 1862 bartolomé mitre primer presidente del país reunificado se refirió a su cargo como presidente de la nación argentina,"En 1860, en la ciudad de Paraná, entonces capital de la Confederación Argentina, el presidente Santiago Derqui decretó que para uniformar los actos administrativos se usaría siempre República Argentina. Dos años más tarde, en 1862, Bartolomé Mitre, primer presidente del país reunificado, se refirió a su cargo como presidente de la Nación Argentina."
la primera junta de gobierno oficialmente junta provisional gubernativa de las provincias del río de la plata a nombre del señor don fernando vii fue la junta de gobierno surgida el viernes 25 de mayo de 1810 en buenos aires capital del virreinato del río de la plata como consecuencia del triunfo de la revolución de mayo que destituyó al virrey baltasar hidalgo de cisneros y nombró a cornelio saavedra como el presidente de la primera junta de las provincias unidas del río de la plata la sede del gobierno fue fijada en el fuerte de buenos aires que sirviera desde 1776 como residencia de los virreyes y donde hoy se encuentra la casa de gobierno la primera junta existió como tal hasta el 18 de diciembre del mismo año ya que con la incorporación de diputados del interior se transformó en la junta grande que dio origen a la prolongada guerra de la independencia de las provincias unidas del río de la plata contra españa 1810-1824,"La Primera Junta de Gobierno, oficialmente Junta Provisional Gubernativa de las Provincias del Río de la Plata a nombre del Señor Don Fernando VII fue la Junta de gobierno surgida el viernes 25 de mayo de 1810 en Buenos Aires, capital del Virreinato del Río de la Plata, como consecuencia del triunfo de la Revolución de Mayo que destituyó al virrey Baltasar Hidalgo de Cisneros y nombró a Cornelio Saavedra como el presidente de la Primera Junta de las Provincias Unidas del Río de la Plata. La sede del gobierno fue fijada en el Fuerte de Buenos Aires, que sirviera desde 1776 como residencia de los virreyes y donde hoy se encuentra la Casa de Gobierno. La Primera Junta existió como tal hasta el 18 de diciembre del mismo año, ya que con la incorporación de diputados del interior se transformó en la Junta Grande, que dio origen a la prolongada Guerra de la Independencia de las Provincias Unidas del Río de la Plata contra España 1810-1824 ."
mientras se desarrollaba la guerra de independencia también tenía lugar una compleja disputa por la forma de organización del nuevo estado que generó en 1814 el inicio de una guerra civil que con intermitencias duraría más de medio siglo el líder de la fracción federal el oriental josé gervasio artigas fue proclamado protector de la unión de los pueblos libres una liga de provincias que se negaban a ser administrados por el gobierno unitario de buenos aires la misma organizó el llamado congreso de oriente en concepción del uruguay del cual aún se discute si alcanzó a proclamar como se proponía la independencia de españa,"Mientras se desarrollaba la guerra de independencia, también tenía lugar una compleja disputa por la forma de organización del nuevo Estado, que generó en 1814 el inicio de una guerra civil que con intermitencias duraría más de medio siglo. El líder de la fracción federal, el oriental José Gervasio Artigas fue proclamado Protector de la Unión de los Pueblos Libres, una liga de provincias que se negaban a ser administrados por el gobierno unitario de Buenos Aires. La misma organizó el llamado Congreso de Oriente en Concepción del Uruguay, del cual aún se discute si alcanzó a proclamar como se proponía la independencia de España."
el 9 de julio de 1816 en la ciudad de san miguel de tucumán reunido el congreso de diputados de las provincias del noroeste y centro-oeste del país y de la de buenos aires junto con algunos diputados exiliados delcharcas proclamó la independencia de las provincias unidas en sud américa utilizando la siguiente fórmula,"El 9 de julio de 1816, en la ciudad de San Miguel de Tucumán, reunido el congreso de diputados de las provincias del noroeste y centro-oeste del país y de la de Buenos Aires, junto con algunos diputados exiliados delCharcas, proclamó la independencia de las Provincias Unidas en Sud América, utilizando la siguiente fórmula"
en varios puntos de sudamérica los nuevos gobiernos debieron enfrentar la resistencia contrarrevolucionaria de los ejércitos realistas que intentaban restaurar la autoridad de la monarquía española en la región comenzaron las guerras por la independencia algunos de los principales comandantes fueron manuel belgrano al mando del ejército del norte josé de san martín creador del ejército de los andes martín miguel de güemes organizador de la guerra gaucha y juana azurduy comandante de la guerra de guerrillas en el charcas el estado argentino considera a san martín como el mayor héroe militar de su independencia y lo honra con el título de padre de la patria junto a simón bolívar fueron los máximos responsables de las gestas libertadoras que terminaron con la presencia española en el continente,"En varios puntos de Sudamérica los nuevos gobiernos debieron enfrentar la resistencia contrarrevolucionaria de los ejércitos realistas, que intentaban restaurar la autoridad de la monarquía española en la región. Comenzaron las guerras por la independencia. Algunos de los principales comandantes fueron Manuel Belgrano, al mando del Ejército del Norte, José de San Martín, creador del Ejército de los Andes, Martín Miguel de Güemes, organizador de la guerra gaucha y Juana Azurduy, comandante de la guerra de guerrillas en el Charcas. El Estado argentino considera a San Martín como el mayor héroe militar de su independencia y lo honra con el título de Padre de la Patria . Junto a Simón Bolívar, fueron los máximos responsables de las gestas libertadoras que terminaron con la presencia española en el continente."
las primeras décadas como país independiente fueron conflictivas ante la hegemonía de los unitarios los federales se alzaron repetidamente en defensa de la autonomía de las provincias llevando tras la llamada anarquía del año xx a la división del país en provincias autónomas gobernadas generalmente por caudillos militares mientras que el país excepto un breve intervalo entre 1825 y 1827 careció de un gobierno nacional hasta 1852 cada provincia asumió la plenitud del gobierno en el ámbito de su territorio,"Las primeras décadas como país independiente fueron conflictivas ante la hegemonía de los unitarios, los federales se alzaron repetidamente en defensa de la autonomía de las provincias, llevando tras la llamada Anarquía del Año XX a la división del país en provincias autónomas gobernadas generalmente por caudillos militares, mientras que el país excepto un breve intervalo entre 1825 y 1827 careció de un gobierno nacional hasta 1852. Cada provincia asumió la plenitud del gobierno en el ámbito de su territorio."
la guerra de la independencia continuó hasta el año 1825 pero se luchó preferentemente en la frontera norte y en el perú mientras tanto la provincia oriental fue invadida por el reino de portugal de quien pasó al imperio del brasil la consecuente guerra del brasil culminó con la convención preliminar de paz de 1828 que declaró independiente al territorio en disputa con el nombre de estado oriental del uruguay poco antes en 1825 charcas se conformó como la república de bolivia y al año siguiente le fue agregada la ciudad de tarija y su jurisdicción,"La guerra de la independencia continuó hasta el año 1825, pero se luchó preferentemente en la frontera norte y en el Perú. Mientras tanto, la Provincia Oriental fue invadida por el reino de Portugal, de quien pasó al Imperio del Brasil. La consecuente guerra del Brasil culminó con la Convención Preliminar de Paz de 1828, que declaró independiente al territorio en disputa, con el nombre de Estado Oriental del Uruguay. Poco antes, en 1825, Charcas se conformó como la República de Bolivia y al año siguiente le fue agregada la ciudad de Tarija y su jurisdicción."
el territorio restante que había logrado aumentar en algo su control territorial con algunas exitosas campañas militares contra los indígenas comenzó a usar el nombre de argentina de manera oficial a mediados de la década de 1820 la denominación oficial provincias unidas del río de la plata continúa considerándose constitucionalmente un nombre alternativo para el país aunque ha caído en práctico desuso,"El territorio restante que había logrado aumentar en algo su control territorial con algunas exitosas campañas militares contra los indígenas comenzó a usar el nombre de Argentina de manera oficial a mediados de la década de 1820. La denominación oficial Provincias Unidas del Río de la Plata continúa considerándose, constitucionalmente, un nombre alternativo para el país, aunque ha caído en práctico desuso."
a principios de los años 1830 los federales lograron triunfar en todo el país que adoptó el nombre de confederación argentina durante más de veinte años el gobernador federal de buenos aires juan manuel de rosas asumió en los hechos la máxima autoridad nacional aunque en teoría solo era el depositario de la representación externa del conjunto de las provincias,"A principios de los años 1830, los federales lograron triunfar en todo el país, que adoptó el nombre de Confederación Argentina. Durante más de veinte años, el gobernador federal de Buenos Aires, Juan Manuel de Rosas, asumió en los hechos la máxima autoridad nacional, aunque en teoría solo era el depositario de la representación externa del conjunto de las provincias."
durante la época de su hegemonía combatió y derrotó sucesivos levantamientos de los unitarios un bloqueo del río de la plata por parte de francia y luego otro bloqueo conjunto por parte de gran bretaña y francia también mantuvo conflictos bélicos contra la confederación perú-boliviana y contra el llamado gobierno de la defensa de montevideo la capital uruguaya debido a la injerencia de los dos partidos de ese país blancos y colorados en las guerras civiles argentinas,"Durante la época de su hegemonía combatió y derrotó sucesivos levantamientos de los unitarios, un bloqueo del Río de la Plata por parte de Francia y luego otro bloqueo conjunto por parte de Gran Bretaña y Francia. También mantuvo conflictos bélicos contra la Confederación Perú-Boliviana y contra el llamado Gobierno de la Defensa de Montevideo, la capital uruguaya, debido a la injerencia de los dos partidos de ese país blancos y colorados en las guerras civiles argentinas."
pese a la paz que fue capaz de imponer y el crecimiento económico al menos de las provincias del litoral los enemigos de rosas reclamaban libertades individuales políticas y de expresión que eran férreamente anuladas por el gobernador porteño el núcleo de sus reclamos era la sanción de una constitución política que organizara formalmente el estado nacional y garantizara los derechos de los ciudadanos,"Pese a la paz que fue capaz de imponer y el crecimiento económico al menos de las provincias del Litoral , los enemigos de Rosas reclamaban libertades individuales, políticas y de expresión, que eran férreamente anuladas por el gobernador porteño el núcleo de sus reclamos era la sanción de una constitución política que organizara formalmente el Estado nacional y garantizara los derechos de los ciudadanos."
en 1852 rosas fue derrotado en la batalla de caseros por el ejército grande una alianza entre las provincias de entre ríos y corrientes las tropas coloradas de uruguay y otras de brasil la alianza fue encabezada por el federal antirrosista justo josé de urquiza gobernador de entre ríos quien asumió la presidencia provisional,"En 1852, Rosas fue derrotado en la batalla de Caseros por el Ejército Grande, una alianza entre las provincias de Entre Ríos y Corrientes, las tropas coloradas de Uruguay y otras de Brasil. La alianza fue encabezada por el federal antirrosista Justo José de Urquiza, gobernador de Entre Ríos, quien asumió la presidencia provisional."
este período duró hasta la sanción de una constitución en 1853 que con algunos cambios ha regido en el país hasta la actualidad la misma adoptó un régimen federal pero la provincia de buenos aires se separó de la confederación argentina que debió establecer su capital en la ciudad de paraná en 1859 la confederación derrotó a buenos aires en la batalla de cepeda forzándola a firmar el pacto de san josé de flores por el cual buenos aires se reincorporaba a la que desde entonces pasó a llamarse república argentina no obstante la reunificación definitiva fue lograda bajo la dirección de buenos aires tras la batalla de pavón 1861 durante la presidencia de bartolomé mitre,"Este período duró hasta la sanción de una Constitución en 1853, que con algunos cambios ha regido en el país hasta la actualidad. La misma adoptó un régimen federal, pero la provincia de Buenos Aires se separó de la Confederación Argentina, que debió establecer su capital en la ciudad de Paraná. En 1859, la Confederación derrotó a Buenos Aires en la batalla de Cepeda, forzándola a firmar el Pacto de San José de Flores, por el cual Buenos Aires se reincorporaba a la que desde entonces pasó a llamarse República Argentina. No obstante, la reunificación definitiva fue lograda bajo la dirección de Buenos Aires tras la batalla de Pavón 1861 , durante la presidencia de Bartolomé Mitre."
en 1865 la argentina se involucró nuevamente en una guerra civil en uruguay a lo cual el paraguay respondió ocupando la ciudad de corrientes tras firmar una triple alianza con el brasil y uruguay la argentina tomó parte en la guerra de la triple alianza contra el paraguay que duró cinco años y requirió la participación de diez mil soldados argentinos el paraguay resultó finalmente derrotado en 1870 quedando totalmente devastado y muerta una gran parte de su población masculina pese a su enorme costo económico y en vidas humanas y a que fue causa de la continuación de las guerras civiles en la argentina este país logró consolidar sus límites en el noreste ya que se fijó la frontera en los ríos pilcomayo paraguay y paraná,"En 1865, la Argentina se involucró nuevamente en una guerra civil en Uruguay, a lo cual el Paraguay respondió ocupando la ciudad de Corrientes. Tras firmar una Triple Alianza con el Brasil y Uruguay, la Argentina tomó parte en la guerra de la Triple Alianza contra el Paraguay, que duró cinco años y requirió la participación de diez mil soldados argentinos. El Paraguay resultó finalmente derrotado en 1870, quedando totalmente devastado y muerta una gran parte de su población masculina. Pese a su enorme costo económico y en vidas humanas y a que fue causa de la continuación de las guerras civiles en la Argentina, este país logró consolidar sus límites en el noreste, ya que se fijó la frontera en los ríos Pilcomayo, Paraguay y Paraná."
durante las presidencias de mitre y sobre todo de sarmiento y avellaneda la argentina se insertó en la economía mundial como un país agroexportador sostenido por una amplia red ferroviaria y el avance del sistema educativo tras dos sangrientas revoluciones en 1874 y 1880 en este último año la ciudad de buenos aires fue federalizada y se estableció un equilibrio durable entre las provincias y la capital,"Durante las presidencias de Mitre y sobre todo de Sarmiento y Avellaneda, la Argentina se insertó en la economía mundial como un país agroexportador, sostenido por una amplia red ferroviaria y el avance del sistema educativo. Tras dos sangrientas revoluciones en 1874 y 1880, en este último año la ciudad de Buenos Aires fue federalizada y se estableció un equilibrio durable entre las provincias y la capital."
entre 1878 y 1884 se produjeron las llamadas conquista del desierto y del chaco con el objeto de dar por término a los constantes enfrentamientos entre indígenas y criollos en la frontera y apropiarse de los territorios indígenas triplicando el territorio argentino la primera conquista impulsada por julio a roca consistió en una serie de incursiones militares a los territorios pampeanos y patagónicos dominados por los pueblos originarios repartiéndolos entre los miembros de la sociedad rural financiadores de las expediciones la conquista del chaco duró hasta fines del siglo dado que su incorporación plena al sistema económico nacional solo tuvo lugar cuando se reemplazó la mera extracción de maderas y tanino por la producción de algodón el gobierno argentino consideró a los indígenas como seres inferiores sin los mismos derechos que los criollos y europeos,"Entre 1878 y 1884 se produjeron las llamadas Conquista del Desierto y del Chaco, con el objeto de dar por término a los constantes enfrentamientos entre indígenas y criollos en la frontera y apropiarse de los territorios indígenas, triplicando el territorio argentino. La primera conquista, impulsada por Julio A. Roca, consistió en una serie de incursiones militares a los territorios pampeanos y patagónicos dominados por los pueblos originarios, repartiéndolos entre los miembros de la Sociedad Rural, financiadores de las expediciones. La conquista del Chaco duró hasta fines del siglo, dado que su incorporación plena al sistema económico nacional solo tuvo lugar cuando se reemplazó la mera extracción de maderas y tanino por la producción de algodón. El gobierno argentino consideró a los indígenas como seres inferiores, sin los mismos derechos que los criollos y europeos."
entre 1880 y 1916 el partido autonomista nacional pan monopolizó el poder sobre la base de elecciones fraudulentas propiciado por el sistema del voto cantado y durante 25 años la figura excluyente fue el general julio argentino roca la llamada república conservadora o república oligárquica organizó un exitoso y moderno modelo agroexportador basado en la llamada división internacional del trabajo impuesta por el imperio británico orientado principalmente a la producción de carne y granos con destino al mercado británico en el relato tradicional el país fue visto en esa época como el granero del mundo,"Entre 1880 y 1916, el Partido Autonomista Nacional PAN monopolizó el poder sobre la base de elecciones fraudulentas, propiciado por el sistema del voto cantado y durante 25 años, la figura excluyente fue el general Julio Argentino Roca. La llamada República Conservadora o República Oligárquica organizó un exitoso y moderno modelo agroexportador basado en la llamada división internacional del trabajo impuesta por el Imperio británico, orientado principalmente a la producción de carne y granos con destino al mercado británico. En el relato tradicional el país fue visto en esa época como el granero del mundo ."
este modelo económico generó una concentración de la riqueza en pocas manos y la exclusión social de las clases trabajadoras y de las poblaciones asentadas fuera de la región pampeana la economía alcanzó altos niveles de crecimiento que atrajeron una gran corriente inmigratoria principalmente constituida por millones de italianos y españoles y en menor medida de seguidos de europeos orientales y asiáticos occidentales la población argentina que representaba el 0 13 de la población mundial en 1869 pasaría a representar el 0 55 en 1930 proporción en la que aproximadamente se estabilizaría desde entonces,"Este modelo económico generó una concentración de la riqueza en pocas manos y la exclusión social de las clases trabajadoras y de las poblaciones asentadas fuera de la región pampeana. La economía alcanzó altos niveles de crecimiento que atrajeron una gran corriente inmigratoria principalmente constituida por millones de italianos y españoles y en menor medida de seguidos de europeos orientales y asiáticos occidentales. La población argentina, que representaba el 0.13 de la población mundial en 1869, pasaría a representar el 0.55 en 1930, proporción en la que, aproximadamente, se estabilizaría desde entonces."
la prosperidad de la economía impulsó el crecimiento de una considerable clase media integrada mayoritariamente por inmigrantes o sus descendientes los inmigrantes europeos también introdujeron en el país ideas políticas nuevas como el socialismo y el anarquismo así como participaron junto a la población local especialmente la afroargentina en la creación de organizaciones de ayuda mutua y sindicatos surgieron partidos políticos modernos como la unión cívica radical ucr y el partido socialista ps,"La prosperidad de la economía impulsó el crecimiento de una considerable clase media, integrada mayoritariamente por inmigrantes o sus descendientes. Los inmigrantes europeos también introdujeron en el país ideas políticas nuevas como el socialismo y el anarquismo, así como participaron junto a la población local, especialmente la afroargentina, en la creación de organizaciones de ayuda mutua y sindicatos. Surgieron partidos políticos modernos como la Unión Cívica Radical UCR y el Partido Socialista PS ."
después de más de dos décadas de conflictos políticos y sociales fraudes electorales y graves actos de represión en 1912 fue sancionada la ley sáenz peña que estableció el sufragio secreto obligatorio y universal para votantes masculinos en la primera elección presidencial con sufragio secreto los conservadores fueron desplazados del poder por los radicales dirigidos por hipólito yrigoyen que fue presidente entre 1916 y 1922 y entre 1928 y 1930 durante su primer gobierno se inició el movimiento estudiantil conocido como la reforma universitaria que se extendió por toda américa latina y se produjeron las masacres obreras de la semana trágica y la patagonia rebelde entre ambos gobiernos de yrigoyen fue elegido presidente el también radical marcelo torcuato de alvear,"Después de más de dos décadas de conflictos políticos y sociales, fraudes electorales y graves actos de represión, en 1912 fue sancionada la Ley Sáenz Peña, que estableció el sufragio secreto, obligatorio y universal para votantes masculinos. En la primera elección presidencial con sufragio secreto, los conservadores fueron desplazados del poder por los radicales dirigidos por Hipólito Yrigoyen, que fue presidente entre 1916 y 1922, y entre 1928 y 1930. Durante su primer gobierno se inició el movimiento estudiantil conocido como la reforma universitaria, que se extendió por toda América Latina y se produjeron las masacres obreras de la Semana Trágica y la Patagonia rebelde. Entre ambos gobiernos de Yrigoyen fue elegido presidente el también radical Marcelo Torcuato de Alvear."
el 6 de septiembre de 1930 se produjo el primero de una serie de golpes de estado en argentina que llevó a un grupo cívico-militar a establecer una dictadura justificada por la corte suprema como gobierno de facto después de derrocar a hipólito yrigoyen este golpe de estado inició una secuela de gobiernos fraudulentos conocidos como la década infame,"El 6 de septiembre de 1930 se produjo el primero de una serie de golpes de Estado en Argentina que llevó a un grupo cívico-militar a establecer una dictadura justificada por la Corte Suprema como gobierno de facto , después de derrocar a Hipólito Yrigoyen. Este golpe de Estado inició una secuela de gobiernos fraudulentos conocidos como la Década Infame."
